review,stars,date,neg,neu,pos,compound
Best cinema on the south side of Brisbane or Logan. Open Caption and Closed Caption movies for those with hearing loss. Also audio description for those with vision loss. Very wheelchair friendly. Wonderful recliner seats in every cinema. Friendly staff who are always helpful., 5 ,2022/07,0.076,0.598,0.326,0.9436
"This is my first experience at this cinema , very average , the condition of the seats are ripped,  food is very expensive. This is also the first time I've ever paid  $20.50 for a movie ticket which is twice as expensive as Cineplex.   I could also hear music from the cinema next door. No movie atmosphere.", 1 ,2022/07,0.041,0.959,0.0,-0.296
, 2 ,2022/07,0.0,0.0,0.0,0.0
, 5 ,2022/07,0.0,0.0,0.0,0.0
"No problems, friendly staff and clean cinema.", 3 ,2022/06,0.355,0.217,0.428,0.25
I've always come to Hoyts whenever there's a good movie to watch.  Reasonable prices good service., 5 ,2022/06,0.0,0.691,0.309,0.7003
, 5 ,2022/06,0.0,0.0,0.0,0.0
Hoyts Sunnybank only offers Pepsi now and not coke  won't be coming to this cinema anymore. Cinema goers should have a choice of drinks., 1 ,2022/06,0.0,1.0,0.0,0.0
, 5 ,2022/06,0.0,0.0,0.0,0.0
, 5 ,2022/06,0.0,0.0,0.0,0.0
The best movie experience you can get. The seats are recliners, 5 ,2022/06,0.0,0.704,0.296,0.6369
Love going to hoyts. Seats are huge and recliner screens are nice. Theatre is usually quite clean. I prefer it over other cinemas any day. Happy to pay more for that too!, 5 ,2022/06,0.033,0.586,0.382,0.9421
, 5 ,2022/06,0.0,0.0,0.0,0.0
, 5 ,2022/06,0.0,0.0,0.0,0.0
Ben and jerry's lol, 5 ,2022/06,0.0,0.517,0.483,0.4215
, 5 ,2022/06,0.0,0.0,0.0,0.0
Great place to go to the movie and also great customer service, 5 ,2022/06,0.0,0.549,0.451,0.8481
Comfy recliner lounge seats., 4 ,2022/06,0.0,1.0,0.0,0.0
Nice seats and Sound I will recommend, 5 ,2022/06,0.0,0.43,0.57,0.6486
Comfy chairs, 4 ,2022/06,0.0,1.0,0.0,0.0
Best in town, 5 ,2022/06,0.0,0.323,0.677,0.6369
, 5 ,2022/06,0.0,0.0,0.0,0.0
, 5 ,2022/06,0.0,0.0,0.0,0.0
, 5 ,2022/06,0.0,0.0,0.0,0.0
Gr8 time!!!. But needs a few of the seats repaired!!!, 5 ,2022/05,0.0,0.695,0.305,0.5451
